,city,latitude,longitude,temperature,humidity,wind speed,cloudiness
0,caconda,-13.73,15.07,16.41,96.0,0.53,100
1,boyuibe,-20.42,-63.28,21.44,80.0,1.29,4
2,arraial do cabo,-22.97,-42.03,22.6,94.0,0.82,93
3,tiksi,71.69,128.87,-20.88,90.0,3.63,68
4,ushuaia,-54.8,-68.3,5.0,75.0,5.1,75
5,bredasdorp,-34.53,20.04,15.0,72.0,0.5,65
6,kargil,34.57,76.1,-1.38,87.0,2.47,100
7,coahuayana,18.73,-103.68,23.17,86.0,1.18,1
8,jamestown,42.1,-79.24,4.4,59.0,3.6,75
10,saint-philippe,-21.36,55.77,22.44,54.0,7.2,75
11,laguna,38.42,-121.42,8.15,81.0,1.39,1
12,esna,25.29,32.55,16.0,77.0,1.5,0
13,kalmunai,7.42,81.82,29.17,73.0,2.8,90
14,vaini,-21.2,-175.2,27.0,78.0,2.6,75
15,isabela,6.71,121.97,30.0,79.0,2.6,40
16,san patricio,28.02,-97.52,24.3,94.0,5.7,75
17,clyde river,70.47,-68.59,-9.0,72.0,14.4,20
18,bluff,-46.6,168.33,22.78,59.0,1.34,100
19,ushuaia,-54.8,-68.3,5.0,75.0,5.1,75
20,bredasdorp,-34.53,20.04,15.0,72.0,0.5,65
21,san cristobal,7.77,-72.22,19.41,93.0,1.45,100
22,vikindu,-7.01,39.3,25.0,94.0,1.12,75
23,new norfolk,-42.78,147.06,12.27,73.0,0.94,98
24,rio gallegos,-51.62,-69.22,11.0,50.0,8.7,40
25,busselton,-33.65,115.33,16.6,62.0,2.24,61
26,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
27,busselton,-33.65,115.33,16.6,62.0,2.24,61
28,atuona,-9.8,-139.03,25.35,75.0,7.32,73
29,inhambane,-23.86,35.38,24.53,62.0,3.68,1
30,albany,42.6,-73.97,-0.48,68.0,1.18,0
31,georgetown,5.41,100.34,30.0,74.0,1.5,40
32,arraial do cabo,-22.97,-42.03,22.6,94.0,0.82,93
33,glenwood springs,39.55,-107.32,-6.84,71.0,5.1,1
34,malur,13.01,77.94,23.2,88.0,2.1,75
35,mataura,-46.19,168.86,22.78,59.0,1.34,99
36,mar del plata,-38.0,-57.56,14.27,87.0,3.1,90
37,troitskoye,52.98,84.68,-1.84,82.0,3.53,96
38,oksfjord,70.24,22.35,5.43,73.0,15.9,2
39,mar del plata,-38.0,-57.56,14.27,87.0,3.1,90
40,chuy,-33.7,-53.46,18.87,94.0,1.08,100
41,ushuaia,-54.8,-68.3,5.0,75.0,5.1,75
42,cidreira,-30.18,-50.21,21.51,88.0,6.92,34
43,ponta do sol,32.67,-17.1,20.19,83.0,3.1,75
44,hilo,19.73,-155.09,20.49,78.0,3.1,40
45,bambous virieux,-20.34,57.76,24.76,78.0,5.7,75
46,thompson,55.74,-97.86,-11.0,85.0,6.2,90
47,quang ngai,15.12,108.8,28.37,78.0,4.72,100
48,busselton,-33.65,115.33,16.6,62.0,2.24,61
49,lac du bonnet,50.25,-96.06,1.0,80.0,6.7,84
50,saskylakh,71.92,114.08,-13.69,92.0,5.26,100
51,batemans bay,-35.72,150.18,26.36,38.0,0.89,0
52,luderitz,-26.65,15.16,15.01,70.0,8.44,0
53,east london,-33.02,27.91,18.0,82.0,3.1,75
54,broken hill,-31.95,141.43,39.0,7.0,12.3,43
55,mataura,-46.19,168.86,22.78,59.0,1.34,99
56,tuktoyaktuk,69.45,-133.04,-10.0,92.0,9.8,90
58,kapaa,22.08,-159.32,23.83,74.0,5.1,40
59,mestia,43.05,42.73,0.43,71.0,1.36,83
60,punta arenas,-53.15,-70.92,7.89,70.0,9.3,75
61,kahului,20.89,-156.47,22.94,61.0,5.1,40
63,diveyevo,55.04,43.24,-3.06,93.0,3.36,62
65,kavaratti,10.57,72.64,30.0,74.0,2.1,40
66,mehamn,71.04,27.85,4.74,79.0,10.87,74
67,flinders,-34.58,150.86,25.33,65.0,2.24,0
68,kodiak,57.79,-152.41,0.0,85.0,3.78,1
69,bluff,-46.6,168.33,22.78,59.0,1.34,100
71,busselton,-33.65,115.33,16.6,62.0,2.24,61
72,puerto ayora,-0.74,-90.35,21.11,83.0,2.24,73
73,barrow,71.29,-156.79,-7.0,67.0,6.2,75
74,gamba,-2.65,10,24.79,90.0,2.03,99
75,cayenne,4.93,-52.33,24.0,100.0,4.05,75
76,albany,42.6,-73.97,-0.48,68.0,1.18,0
77,athabasca,54.72,-113.29,-10.87,100.0,1,47
78,ahipara,-35.17,173.17,19.11,52.0,2.64,85
79,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
80,bredasdorp,-34.53,20.04,15.0,72.0,0.5,65
81,mataura,-46.19,168.86,22.78,59.0,1.34,99
82,yelan,50.95,43.74,-2.62,94.0,5.16,100
83,vaini,-21.2,-175.2,27.0,78.0,2.6,75
84,kavieng,-2.57,150.8,29.89,69.0,5.05,59
85,busselton,-33.65,115.33,16.6,62.0,2.24,61
86,bluff,-46.6,168.33,22.78,59.0,1.34,100
87,vila franca do campo,37.72,-25.43,18.0,93.0,7.2,75
88,bambous virieux,-20.34,57.76,24.76,78.0,5.7,75
89,paciran,-6.88,112.38,31.79,57.0,2.99,50
90,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
91,livingston,55.9,-3.52,9.45,81.0,1.5,75
92,ushuaia,-54.8,-68.3,5.0,75.0,5.1,75
93,tuktoyaktuk,69.45,-133.04,-10.0,92.0,9.8,90
95,east london,-33.02,27.91,18.0,82.0,3.1,75
96,hithadhoo,-0.6,73.08,28.7,76.0,6.98,100
97,nikolskoye,59.7,30.79,-1.64,86.0,2,90
98,hasaki,35.73,140.83,18.94,52.0,4.6,20
99,yulara,-25.24,130.99,40.0,12.0,7.7,40
100,busselton,-33.65,115.33,16.6,62.0,2.24,61
101,hobart,-42.88,147.33,12.84,82.0,1.86,75
102,ponta do sol,32.67,-17.1,20.19,83.0,3.1,75
103,ancud,-41.87,-73.82,3.94,86.0,2.1,0
104,cidreira,-30.18,-50.21,21.51,88.0,6.92,34
105,sao filipe,14.9,-24.5,26.75,61.0,3.22,100
106,cape town,-33.93,18.42,15.6,72.0,3.6,0
107,klaksvik,62.23,-6.59,8.0,93.0,2.6,100
108,yellowknife,62.46,-114.35,-16.36,84.0,3.1,90
109,butaritari,3.07,172.79,27.87,67.0,3.81,68
110,ancud,-41.87,-73.82,3.94,86.0,2.1,0
111,busselton,-33.65,115.33,16.6,62.0,2.24,61
112,sitka,57.05,-135.33,1.0,86.0,2.3,20
113,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
114,bredasdorp,-34.53,20.04,15.0,72.0,0.5,65
115,kavieng,-2.57,150.8,29.89,69.0,5.05,59
116,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
117,havre-saint-pierre,50.23,-63.6,-1.0,100.0,1.5,90
118,vardo,70.37,31.11,5.58,85.0,13.95,86
119,bambous virieux,-20.34,57.76,24.76,78.0,5.7,75
120,yellowknife,62.46,-114.35,-16.36,84.0,3.1,90
121,saint george,37.1,-113.58,7.41,26.0,1.12,1
122,pevek,69.7,170.31,-17.97,87.0,3.91,4
123,nome,64.5,-165.41,-11.95,86.0,2.31,0
124,ponta do sol,32.67,-17.1,20.19,83.0,3.1,75
125,butaritari,3.07,172.79,27.87,67.0,3.81,68
126,busselton,-33.65,115.33,16.6,62.0,2.24,61
127,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
128,burnie,-41.07,145.92,18.84,55.0,3.58,46
130,kavieng,-2.57,150.8,29.89,69.0,5.05,59
131,ribeira grande,38.52,-28.7,17.55,81.0,4.66,99
132,punta arenas,-53.15,-70.92,7.89,70.0,9.3,75
133,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
134,skjervoy,70.03,20.97,6.24,70.0,8.09,2
135,tasiilaq,65.61,-37.64,-5.88,97.0,3.31,100
136,bucarasica,8.04,-72.87,18.42,92.0,0.2,100
137,immokalee,26.42,-81.42,23.04,94.0,1.5,1
138,fort nelson,58.81,-122.7,-12.0,92.0,0.71,90
139,mar del plata,-38.0,-57.56,14.27,87.0,3.1,90
140,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
141,port lincoln,-34.73,135.87,23.58,46.0,9.84,0
142,ribeira grande,38.52,-28.7,17.55,81.0,4.66,99
143,jamestown,42.1,-79.24,4.4,59.0,3.6,75
144,ushuaia,-54.8,-68.3,5.0,75.0,5.1,75
145,kalmunai,7.42,81.82,29.17,73.0,2.8,90
146,bluff,-46.6,168.33,22.78,59.0,1.34,100
147,mataura,-46.19,168.86,22.78,59.0,1.34,99
149,mondlo,-27.98,30.72,17.39,84.0,3.16,35
150,vila velha,-20.33,-40.29,24.7,88.0,0.5,0
151,inuvik,68.35,-133.72,-15.0,77.0,4.6,86
152,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
153,punta arenas,-53.15,-70.92,7.89,70.0,9.3,75
154,santa maria,-29.68,-53.81,21.01,95.0,1.38,100
155,santa vitoria do palmar,-33.52,-53.37,19.23,92.0,2.04,100
156,airai,-8.93,125.41,27.9,41.0,2.04,45
157,tiksi,71.69,128.87,-20.88,90.0,3.63,68
158,peniche,39.36,-9.38,17.25,88.0,0.89,86
159,rikitea,-23.12,-134.97,24.35,83.0,5.84,59
160,storsteinnes,69.24,19.23,2.83,92.0,9.8,19
161,hamilton,39.18,-84.53,13.16,58.0,2.1,75
162,avarua,-21.21,-159.78,25.0,83.0,3.1,37
163,pevek,69.7,170.31,-17.97,87.0,3.91,4
164,jamestown,42.1,-79.24,4.4,59.0,3.6,75
165,paamiut,61.99,-49.67,-5.4,78.0,12.47,0
166,jamestown,42.1,-79.24,4.4,59.0,3.6,75
167,albany,42.6,-73.97,-0.48,68.0,1.18,0
168,saint-philippe,-21.36,55.77,22.45,54.0,7.2,75
169,turukhansk,65.82,87.98,-24.75,89.0,3.66,100
170,makaha,21.47,-158.22,25.53,73.0,2.6,1
171,hobart,-42.88,147.33,12.84,82.0,1.86,75
